feature_set,features,params,accuracy
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1}",0.8885
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1}",0.8885
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": null, ""min_samples_split"": 5, ""min_samples_leaf"": 1}",0.8808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 20, ""min_samples_split"": 5, ""min_samples_leaf"": 1}",0.8808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 2}",0.8692
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": null, ""min_samples_split"": 5, ""min_samples_leaf"": 2}",0.8654
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 20, ""min_samples_split"": 5, ""min_samples_leaf"": 2}",0.8654
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 1}",0.8615
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 10, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",0.8577
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 2}",0.8577
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 2}",0.8577
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 5}",0.8577
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 5}",0.8577
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 2}",0.8577
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 20, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",0.8538
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 5}",0.8538
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 20, ""min_samples_split"": 5, ""min_samples_leaf"": 5}",0.8538
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 20, ""min_samples_split"": 10, ""min_samples_leaf"": 2}",0.8538
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": null, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",0.8538
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": null, ""min_samples_split"": 10, ""min_samples_leaf"": 2}",0.8538
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 5}",0.8538
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 1}",0.8538
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": null, ""min_samples_split"": 5, ""min_samples_leaf"": 5}",0.8538
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": null, ""min_samples_split"": 10, ""min_samples_leaf"": 1}",0.85
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 20, ""min_samples_split"": 10, ""min_samples_leaf"": 1}",0.85
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 10, ""min_samples_split"": 10, ""min_samples_leaf"": 2}",0.8462
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 10, ""min_samples_split"": 10, ""min_samples_leaf"": 1}",0.8385
F1_basic,"magnitude,depth,sig","{""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 1}",0.7962
F1_basic,"magnitude,depth,sig","{""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1}",0.7962
F1_basic,"magnitude,depth,sig","{""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 1}",0.7846
F1_basic,"magnitude,depth,sig","{""max_depth"": null, ""min_samples_split"": 5, ""min_samples_leaf"": 1}",0.7808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 5, ""min_samples_split"": 5, ""min_samples_leaf"": 1}",0.7808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 5, ""min_samples_split"": 5, ""min_samples_leaf"": 2}",0.7808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 5, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",0.7808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 5, ""min_samples_split"": 5, ""min_samples_leaf"": 5}",0.7808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 5, ""min_samples_split"": 10, ""min_samples_leaf"": 1}",0.7808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 2}",0.7808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 5, ""min_samples_split"": 10, ""min_samples_leaf"": 2}",0.7808
F1_basic,"magnitude,depth,sig","{""max_depth"": 20, ""min_samples_split"": 5, ""min_samples_leaf"": 1}",0.7808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 1}",0.7808
F2_all,"magnitude,depth,cdi,mmi,sig","{""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 5}",0.7808
F1_basic,"magnitude,depth,sig","{""max_depth"": null, ""min_samples_split"": 5, ""min_samples_leaf"": 2}",0.7769
F1_basic,"magnitude,depth,sig","{""max_depth"": 20, ""min_samples_split"": 5, ""min_samples_leaf"": 2}",0.7769
F1_basic,"magnitude,depth,sig","{""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 1}",0.7769
F1_basic,"magnitude,depth,sig","{""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 2}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": 20, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": null, ""min_samples_split"": 5, ""min_samples_leaf"": 5}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 5}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 5}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": null, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": 20, ""min_samples_split"": 2, ""min_samples_leaf"": 2}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": 20, ""min_samples_split"": 5, ""min_samples_leaf"": 5}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 5}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 5}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": 10, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",0.7731
F1_basic,"magnitude,depth,sig","{""max_depth"": 10, ""min_samples_split"": 10, ""min_samples_leaf"": 1}",0.7692
F1_basic,"magnitude,depth,sig","{""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 2}",0.7692
F1_basic,"magnitude,depth,sig","{""max_depth"": null, ""min_samples_split"": 10, ""min_samples_leaf"": 1}",0.7654
F1_basic,"magnitude,depth,sig","{""max_depth"": null, ""min_samples_split"": 10, ""min_samples_leaf"": 2}",0.7654
F1_basic,"magnitude,depth,sig","{""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 2}",0.7654
F1_basic,"magnitude,depth,sig","{""max_depth"": 10, ""min_samples_split"": 10, ""min_samples_leaf"": 2}",0.7654
F1_basic,"magnitude,depth,sig","{""max_depth"": 20, ""min_samples_split"": 10, ""min_samples_leaf"": 1}",0.7654
F1_basic,"magnitude,depth,sig","{""max_depth"": 20, ""min_samples_split"": 10, ""min_samples_leaf"": 2}",0.7654
F1_basic,"magnitude,depth,sig","{""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 1}",0.6923
F1_basic,"magnitude,depth,sig","{""max_depth"": 5, ""min_samples_split"": 5, ""min_samples_leaf"": 1}",0.6923
F1_basic,"magnitude,depth,sig","{""max_depth"": 5, ""min_samples_split"": 10, ""min_samples_leaf"": 1}",0.6923
F1_basic,"magnitude,depth,sig","{""max_depth"": 5, ""min_samples_split"": 5, ""min_samples_leaf"": 5}",0.6885
F1_basic,"magnitude,depth,sig","{""max_depth"": 5, ""min_samples_split"": 5, ""min_samples_leaf"": 2}",0.6885
F1_basic,"magnitude,depth,sig","{""max_depth"": 5, ""min_samples_split"": 10, ""min_samples_leaf"": 2}",0.6885
F1_basic,"magnitude,depth,sig","{""max_depth"": 5, ""min_samples_split"": 10, ""min_samples_leaf"": 5}",0.6885
F1_basic,"magnitude,depth,sig","{""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 2}",0.6885
F1_basic,"magnitude,depth,sig","{""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 5}",0.6885
